#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1905.15   -0.080028    0.027293   -0.055229    0.023467  99.9900000  99.9900000   -0.093751    0.000000   -0.019967    0.000000
   1905.20   -0.170858    0.023007   -0.070765    0.022130  99.9900000  99.9900000   -0.094192    0.000000   -0.018991    0.000000
   1905.25   -0.180579    0.018234   -0.062143    0.018212  99.9900000  99.9900000   -0.094315    0.000000   -0.018183    0.000000
   1905.30   -0.171587    0.023234   -0.023501    0.023530  99.9900000  99.9900000   -0.094565    0.000000   -0.017555    0.000000
   1905.35   -0.196017    0.019237    0.044291    0.019690  99.9900000  99.9900000   -0.094435    0.000000   -0.017348    0.000000
   1905.40   -0.159984    0.019621    0.077358    0.020543  99.9900000  99.9900000   -0.093902    0.000000   -0.017363    0.000000
   1905.45   -0.152897    0.020041    0.123610    0.021427  99.9900000  99.9900000   -0.093130    0.000000   -0.017807    0.000000
   1905.50   -0.110409    0.018161    0.156576    0.021271  99.9900000  99.9900000   -0.091980    0.000000   -0.017876    0.000000
   1905.55   -0.056567    0.017771    0.176967    0.018963  99.9900000  99.9900000   -0.090785    0.000000   -0.017883    0.000000
   1905.60   -0.004122    0.018403    0.204668    0.019330  99.9900000  99.9900000   -0.089836    0.000000   -0.017886    0.000000
   1905.65    0.038204    0.017988    0.194052    0.018140  99.9900000  99.9900000   -0.089291    0.000000   -0.017849    0.000000
   1905.70    0.075165    0.017608    0.177141    0.018664  99.9900000  99.9900000   -0.089123    0.000000   -0.018035    0.000000
   1905.75    0.089667    0.022707    0.174371    0.017067  99.9900000  99.9900000   -0.089424    0.000000   -0.018438    0.000000
   1905.80    0.108804    0.025742    0.144278    0.025077  99.9900000  99.9900000   -0.090196    0.000000   -0.019286    0.000000
   1905.85    0.149482    0.023280    0.120583    0.020276  99.9900000  99.9900000   -0.090806    0.000000   -0.020172    0.000000
   1905.90    0.142776    0.024965    0.083207    0.020218  99.9900000  99.9900000   -0.091468    0.000000   -0.021143    0.000000
   1905.95    0.133356    0.024033    0.061648    0.025298  99.9900000  99.9900000   -0.091789    0.000000   -0.021919    0.000000
   1906.00    0.098703    0.023871    0.013500    0.019698  99.9900000  99.9900000   -0.091779    0.000000   -0.022180    0.000000
   1906.05    0.029984    0.021660   -0.031348    0.020346  99.9900000  99.9900000   -0.091829    0.000000   -0.022216    0.000000
   1906.10   -0.022500    0.024580   -0.051183    0.015709  99.9900000  99.9900000   -0.091804    0.000000   -0.021465    0.000000
   1906.15   -0.048569    0.018038   -0.033051    0.019089  99.9900000  99.9900000   -0.091930    0.000000   -0.020466    0.000000
   1906.20   -0.083756    0.021683   -0.021459    0.021078  99.9900000  99.9900000   -0.092241    0.000000   -0.019477    0.000000
   1906.25   -0.100178    0.021437   -0.019640    0.019111  99.9900000  99.9900000   -0.092638    0.000000   -0.018808    0.000000
   1906.30   -0.116470    0.016746   -0.026486    0.016041  99.9900000  99.9900000   -0.092667    0.000000   -0.018281    0.000000
   1906.35   -0.135277    0.020516    0.005502    0.017998  99.9900000  99.9900000   -0.092482    0.000000   -0.017989    0.000000
   1906.40   -0.152410    0.015685    0.033502    0.016190  99.9900000  99.9900000   -0.092146    0.000000   -0.018184    0.000000
   1906.45   -0.141173    0.014321    0.081081    0.015549  99.9900000  99.9900000   -0.091166    0.000000   -0.018478    0.000000
   1906.50   -0.120145    0.017456    0.105357    0.016690  99.9900000  99.9900000   -0.090165    0.000000   -0.018539    0.000000
   1906.55   -0.106461    0.014687    0.115375    0.015379  99.9900000  99.9900000   -0.089003    0.000000   -0.018715    0.000000
   1906.60   -0.096297    0.013220    0.130492    0.016956  99.9900000  99.9900000   -0.088098    0.000000   -0.018549    0.000000
   1906.65   -0.057920    0.014699    0.114899    0.015206  99.9900000  99.9900000   -0.087505    0.000000   -0.018726    0.000000
   1906.70   -0.034612    0.015441    0.135199    0.014289  99.9900000  99.9900000   -0.087500    0.000000   -0.018937    0.000000
   1906.75   -0.030718    0.017748    0.140306    0.019017  99.9900000  99.9900000   -0.087813    0.000000   -0.019386    0.000000
   1906.80   -0.026641    0.017639    0.123445    0.016314  99.9900000  99.9900000   -0.088505    0.000000   -0.020194    0.000000
   1906.85    0.029083    0.025962    0.189384    0.019882  99.9900000  99.9900000   -0.089314    0.000000   -0.021092    0.000000
   1906.90   -0.000075    0.019462    0.169100    0.016958  99.9900000  99.9900000   -0.089843    0.000000   -0.022075    0.000000
   1906.95    0.007502    0.021171    0.178271    0.022813  99.9900000  99.9900000   -0.090186    0.000000   -0.022655    0.000000
   1907.00    0.028796    0.026177    0.195500    0.021834  99.9900000  99.9900000   -0.090518    0.000000   -0.023048    0.000000
   1907.05    0.030694    0.023340    0.122689    0.025642  99.9900000  99.9900000   -0.090453    0.000000   -0.023022    0.000000
   1907.10    0.005788    0.022991    0.059099    0.025103  99.9900000  99.9900000   -0.090592    0.000000   -0.022379    0.000000
   1907.15    0.011273    0.017752    0.085897    0.018130  99.9900000  99.9900000   -0.090859    0.000000   -0.021558    0.000000
   1907.20    0.025841    0.019142    0.045523    0.018841  99.9900000  99.9900000   -0.091122    0.000000   -0.020448    0.000000
   1907.25    0.010185    0.017944    0.033976    0.018047  99.9900000  99.9900000   -0.091486    0.000000   -0.019789    0.000000
   1907.30    0.037469    0.017414   -0.010218    0.018281  99.9900000  99.9900000   -0.091664    0.000000   -0.019143    0.000000
   1907.35   -0.004542    0.016075   -0.015766    0.017201  99.9900000  99.9900000   -0.091549    0.000000   -0.018988    0.000000
